[900.0, 450.0, 300.0, 340.0]
[1050.0, 525.0, 350.0, 430.0]
[600.0, 400.0, 400.0]
[1350.0, 675.0, 450.0, 450.0]
[900.0, 450.0, 300.0, 380.0]
[350.0, 400.0]
[1200.0, 600.0, 400.0, 400.0]
[1350.0, 675.0, 450.0, 430.0]
[900.0, 450.0, 300.0, 270.0]
[1050.0, 525.0, 350.0, 350.0]
[400.0, 400.0]
[1350.0, 675.0, 450.0, 430.0]
[900.0, 450.0, 300.0, 340.0]
[350.0, 410.0]
[600.0, 400.0, 400.0]
[1350.0, 675.0, 450.0, 380.0]
[900.0, 450.0, 300.0, 300.0]
[1050.0, 525.0, 350.0, 350.0]
[1200.0, 600.0, 400.0, 400.0]
[1350.0, 675.0, 450.0, 380.0]
[900.0, 450.0, 300.0, 270.0]
[350.0, 350.0]
[1200.0, 600.0, 400.0, 400.0]
[1350.0, 675.0, 450.0, 430.0]
